age,choose_your_gender_Male,your_current_year_of_study_Year 2,your_current_year_of_study_Year 3,your_current_year_of_study_year 1,your_current_year_of_study_year 2,your_current_year_of_study_year 3,your_current_year_of_study_year 4,what_is_your_cgpa_2.00 - 2.49,what_is_your_cgpa_2.50 - 2.99,what_is_your_cgpa_3.00 - 3.49,what_is_your_cgpa_3.50 - 4.00,what_is_your_cgpa_3.50 - 4.00 ,do_you_have_anxiety_Yes,do_you_have_panic_attack_Yes,did_you_seek_any_specialist_for_a_treatment_Yes
23.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
19.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
24.0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
23.0,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
18.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
21.0,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False
19.0,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
20.0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
19.0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
18.0,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False
18.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
19.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
18.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
18.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
21.0,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False
24.0,False,False,True,False,False,False,False,False,False,False,True,False,True,True,True
18.0,True,False,False,True,False,False,False,False,False,False,True,False,True,True,False
22.0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
19.0,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False
24.0,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
19.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
23.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
23.0,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True
22.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
18.0,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True
23.0,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False
18.0,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False
18.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
19.0,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False
18.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
24.0,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
18.0,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False
24.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
24.0,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False
24.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
19.0,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False
18.0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
19.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
18.0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
19.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
19.0,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False
18.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
18.0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
18.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
23.0,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False
